S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency ID
3,SURESH PAREEK,Independent,10014,7,10021,0.77,S205
4,AMARCHAND,Bahujan Samaj Party,8293,326,8619,0.66,S205
5,VISHNU KUMAR NATRAJ,Independent,5796,7,5803,0.45,S205
6,RAVINDRA SINGH SHEKHAWAT,Independent,5775,250,6025,0.46,S205
7,ASHOK SEHRA,Ambedkarite Party of India,5333,49,5382,0.41,S205
8,DHIRENDRA  VERMA,Ummeed Party of India,2885,59,2944,0.23,S205
9,MAHESH KUMAR,Independent,1962,94,2056,0.16,S205
10,BENI PRASAD KAUSHIK (LATA),Rashtriya Sawarn Dal,1720,11,1731,0.13,S205
11,RAMESH SHARMA,Bhartiya Party,1516,33,1549,0.12,S205
12,VIJENDER MAHARIA,Bharatiya Yuva Jan Ekta Party,1421,30,1451,0.11,S205
13,OM PRAKASH,Independent,1182,42,1224,0.09,S205
14,BIRBALSINGH,Independent,1034,47,1081,0.08,S205
15,NOTA,None of the Above,7081,185,7266,0.56,S205
1,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,565428,2772,568200,41.39,S2220
2,ANNAMALAI K,Bharatiya Janata Party,447608,2524,450132,32.79,S2220
3,SINGAI G RAMACHANDRAN,All India Anna Dravida Munnetra Kazhagam,235603,887,236490,17.23,S2220
4,KALAMANI JAGANATHAN,Naam Tamilar Katchi,82387,270,82657,6.02,S2220
5,VELMURUGAN K,Bahujan Samaj Party,2364,11,2375,0.17,S2220
6,SANJAYKUMAR S,Independent,1787,2,1789,0.13,S2220
7,ANNADURAI R,Independent,1767,5,1772,0.13,S2220
8,SURESH M,Independent,1472,2,1474,0.11,S2220
9,GOPALAKRISHNAN S,Independent,1196,3,1199,0.09,S2220
10,RAGHUL GANDHI K,Hindustan Janta Party,1170,6,1176,0.09,S2220
11,KARTHICK T,Independent,1070,3,1073,0.08,S2220
12,RAJKUMAR M,Independent,1067,1,1068,0.08,S2220
13,RAJKUMAR,Independent,1010,3,1013,0.07,S2220
14,RAJKUMAR G,Independent,888,4,892,0.06,S2220
15,SHANMUGAM K,Independent,881,1,882,0.06,S2220
16,KRISHNAN V,Independent,722,4,726,0.05,S2220
17,RAMACHANDRAN M,Independent,663,0,663,0.05,S2220
18,RAJAMANICKAM N,Independent,626,3,629,0.05,S2220
19,RAJKUMAR G B,Independent,607,4,611,0.04,S2220
20,KUMAR A,Ganasangam Party of India,548,3,551,0.04,S2220
21,SANGEETHA R,Naadaalum Makkal Katchi,491,1,492,0.04,S2220
22,RICHARD VINCENT,Viro Ke Vir Indian Party,489,3,492,0.04,S2220
23,SURIYAKUMAR K,Independent,443,4,447,0.03,S2220
24,ARUNKANTH V,Independent,432,6,438,0.03,S2220
25,ANANDHAKUMAR S,Rashtriya Samaj Paksha,417,2,419,0.03,S2220
26,RAMACHANDRAN R,Independent,368,1,369,0.03,S2220
27,MUTHUSAMY P P,Independent,368,1,369,0.03,S2220
28,PALANISAMYRAAJ M,Independent,313,3,316,0.02,S2220
29,PUSHPANANTHAM V,Tamizhaga Murpokku Makkal Katchi,303,2,305,0.02,S2220
30,DINESH K,Independent,284,1,285,0.02,S2220
31,PREMKUMAR P,Independent,281,2,283,0.02,S2220
32,RAVICHANDRAN,Independent,271,1,272,0.02,S2220
33,DURAISAMY A,Independent,263,3,266,0.02,S2220
34,ZAHIR HUSSAIN,Independent,259,1,260,0.02,S2220
35,BOOBALAN,Independent,252,1,253,0.02,S2220
36,NOORMUHAMAD A,Independent,232,2,234,0.02,S2220
37,PASUPATHI S,Independent,170,3,173,0.01,S2220
38,NOTA,None of the Above,11677,111,11788,0.86,S2220
1,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,501851,3233,505084,43.28,S2227
2,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,399502,2028,401530,34.4,S2227
3,KARTHIYAYINI P,Bharatiya Janata Party,166114,2379,168493,14.44,S2227
4,JANCIRANI R,Naam Tamilar Katchi,65116,473,65589,5.62,S2227
5,NEELAMEGAM K,Bahujan Samaj Party,3177,26,3203,0.27,S2227
6,TAMILVENDHAN P,Independent,3043,19,3062,0.26,S2227
7,PERUMAL S,Independent,2231,8,2239,0.19,S2227
8,VETTRIVEL G,Independent,2039,2,2041,0.17,S2227
9,ARCHUNAN M A T,Independent,1833,3,1836,0.16,S2227
10,DHAMODHARAN S,Naadaalum Makkal Katchi,1628,14,1642,0.14,S2227
11,RATHA G,Independent,1273,7,1280,0.11,S2227
12,RAJAMANICKAM C,Independent,1068,19,1087,0.09,S2227
13,CHINNADURAI A,Independent,628,10,638,0.05,S2227
14,ELAVARASAN C,Independent,584,2,586,0.05,S2227
15,NOTA,None of the Above,8631,130,8761,0.75,S2227
1,AJAY BHATT,Bharatiya Janata Party,766397,6274,772671,61.03,S284
2,PRAKASH JOSHI,Indian National Congress,434916,3207,438123,34.61,S284
3,AKHTAR ALI,Bahujan Samaj Party,23276,179,23455,1.85,S284
4,AKHALESH KUMAR,Akhil Bhartiya Parivar Party,4871,31,4902,0.39,S284
5,HITESH PATHAK,Independent,4287,28,4315,0.34,S284
6,RAMESH KUMAR MAX,Independent,3271,29,3300,0.26,S284
7,AMAR SINGH SAINI,Peoples Party of India (Democratic),2963,24,2987,0.24,S284
8,JEEVAN CHANDRA UPRETI,Bharat Ki Lok Jimmedar Party,2292,18,2310,0.18,S284
9,SHIB SINGH,Uttarakhand Kranti Dal,1809,46,1855,0.15,S284
10,SURENDRA SINGH,Bhartiya Shakti Chetna Party,1655,18,1673,0.13,S284
11,NOTA,None of the Above,10227,198,10425,0.82,S284
1,UTKARSH VERMA  'MADHUR',Samajwadi Party,555277,2088,557365,45.94,S2428
2,AJAY KUMAR,Bharatiya Janata Party,521954,1082,523036,43.11,S2428
3,ANSHAY KALRA,Bahujan Samaj Party,110122,338,110460,9.1,S2428
4,SANDHYA JAISWAL,Parivartan Samaj Party,3093,3,3096,0.26,S2428
5,SATENDRA KUMAR MAURYA,Independent,2980,2,2982,0.25,S2428
6,OM NATH SINGH,Rashtriya Shoshit Samaj Party,2298,2,2300,0.19,S2428
7,NARESH SINGH BHADAURIYA,Independent,2107,4,2111,0.17,S2428
8,MUKESH KUMAR  (BHARTI),Rashtriya Vikalp Party,1266,3,1269,0.1,S2428
9,KHANJAN,Netaji Subhash Chander Bose Rashtriya Azad Party,1018,1,1019,0.08,S2428
10,DARWARI URF  DARWARI LAL  CHAUHAN,Janta Kranti Party,935,1,936,0.08,S2428
11,KM. PANCHSHEELA ANAND,Uttar Pradesh Republican Party,845,9,854,0.07,S2428
12,NOTA,None of the Above,7915,16,7931,0.65,S2428
1,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,302402,1457,303859,32.04,S195
2,YAMINI GOMAR,Indian National Congress,257936,1812,259748,27.39,S195
3,ANITA SOM PARKASH,Bharatiya Janata Party,198576,1418,199994,21.09,S195
4,SOHAN SINGH THANDAL,Shiromani Akali Dal,91503,286,91789,9.68,S195
5,RANJIT KUMAR,Bahujan Samaj Party,47975,239,48214,5.08,S195
6,JASWANT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),20680,243,20923,2.21,S195
7,JEEVAN SINGH TAMIL,Bahujan Dravida Party,4607,14,4621,0.49,S195
8,ROHIT KUMAR TINKU,Independent,2417,2,2419,0.26,S195
9,RAJESH,Democratic Bharatiya Samaj Party,2330,6,2336,0.25,S195
10,SONU SINGH PHAGWARA,Independent,1871,13,1884,0.2,S195
11,DAVINDER SINGH,Independent,1584,33,1617,0.17,S195
12,HARDEEP SINGH,Nationalist Justice Party,1403,22,1425,0.15,S195
13,RAJPAL NADALI,Bahujan Mukti Party,1138,2,1140,0.12,S195
14,BHIMRAO YASHWANT AMBEDKAR,Global Republican Party,1034,7,1041,0.11,S195
15,SATPAL,Independent,978,15,993,0.1,S195
16,DAVINDER KUMAR SAROYA,Samaj Bhalai Morcha,923,7,930,0.1,S195
17,NOTA,None of the Above,5453,99,5552,0.59,S195
1,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,625962,7156,633118,68.15,S0611
2,LALIT VASOYA,Indian National Congress,245677,4081,249758,26.89,S0611
3,N. P. RATHOD,Bahujan Samaj Party,10560,362,10922,1.18,S0611
4,NATHABHAI BHURABHAI ODEDRA,Independent,7164,132,7296,0.79,S0611
5,LAKHANSI ODEDARA,Viro Ke Vir Indian Party,3130,33,3163,0.34,S0611
6,SOLANKI JATIN DHIRUBHAI,Independent,2469,17,2486,0.27,S0611
7,SODHA HUSHENBHAI ALIBHAI,Independent,2432,3,2435,0.26,S0611
8,RATHOD CHANDUBHAI MOHANBHAI,Independent,1705,24,1729,0.19,S0611
9,SHEKHAVA NILESHKUMAR RAMJIBHAI,Samajwadi Party,1587,22,1609,0.17,S0611
10,SIDHHAPARA HARSUKHLAL JIVANBHAI,Log Party,1059,13,1072,0.12,S0611
11,MAHEMUDBHAI SAIYAD,Independent,1023,6,1029,0.11,S0611
12,JETHAVA BIPINKUMAR BHIKHALAL,Independent,786,11,797,0.09,S0611
13,NOTA,None of the Above,13004,559,13563,1.46,S0611
1,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,527974,1559,529533,52.22,S0419
2,AAKASH KUMAR SINGH,Indian National Congress,425887,995,426882,42.09,S0419
3,TRIBHUWAN RAM,Peoples Party of India (Democratic),14830,8,14838,1.46,S0419
4,MADHUSUDAN SINGH,Bahujan Samaj Party,13359,43,13402,1.32,S0419
5,AKHILESHWAR PRASAD SINGH,All India Majlis-E-Ittehadul Muslimeen,7750,17,7767,0.77,S0419
6,NOTA,None of the Above,21662,25,21687,2.14,S0419
1,KARAN BHUSHAN SINGH,Bharatiya Janata Party,570436,827,571263,53.79,S2457
2,BHAGAT RAM,Samajwadi Party,422012,408,422420,39.77,S2457
3,NARENDRA PANDEY,Bahujan Samaj Party,44217,62,44279,4.17,S2457
4,ARUNIMA PANDEY,Independent,9230,20,9250,0.87,S2457
5,NOTA,None of the Above,14872,15,14887,1.4,S2457
1,Sasikanth Senthil,Indian National Congress,794608,2348,796956,56.21,S221
2,"Balaganapathy, V. Pon",Bharatiya Janata Party,224042,759,224801,15.86,S221
3,"Nallathambi, K.",Desiya Murpokku Dravida Kazhagam,223550,354,223904,15.79,S221
4,"Jagadesh Chander, M.",Naam Tamilar Katchi,120620,218,120838,8.52,S221
5,"Tamizhmadhi, D.",Bahujan Samaj Party,13772,38,13810,0.97,S221
6,"Ashok Priyadarshan, S.",Desiya Makkal Sakthi Katchi,2937,9,2946,0.21,S221
7,Malathi,Naadaalum Makkal Katchi,2829,24,2853,0.2,S221
8,"Mani, E.",Independent,2745,7,2752,0.19,S221
9,"Devandhran, M.",Anna MGR Dravida Makkal Kalgam,2001,7,2008,0.14,S221
10,"Manimaran, V.",Independent,1921,1,1922,0.14,S221
11,"Balakrishnan, K.",Independent,1685,5,1690,0.12,S221
12,"Bharathidasan, S.S.",Independent,1619,12,1631,0.12,S221
13,"Shakthivel, A.J.",Independent,1605,8,1613,0.11,S221
14,"Sivasankaran, V.",Independent,1105,5,1110,0.08,S221
15,NOTA,None of the Above,18908,70,18978,1.34,S221
1,DR. VIRENDRA KUMAR,Bharatiya Janata Party,713781,1269,715050,65.1,S126
2,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,311134,604,311738,28.38,S126
3,AHIRWAR DALLURAM,Bahujan Samaj Party,32604,69,32673,2.97,S126
4,AHIRWAR PANKAJ,Rashtriya Samaj Paksha,10147,11,10158,0.92,S126
5,SARJU PRASAD,Independent,5993,4,5997,0.55,S126
6,N.R. PRAJAPATI,Adarsh Nyay Rakshak Party,5475,9,5484,0.5,S126
7,BABULAL KHANGAR,Independent,4452,7,4459,0.41,S126
8,NOTA,None of the Above,12816,15,12831,1.17,S126
1,YOGENDER CHANDOLIYA,Bharatiya Janata Party,863255,3228,866483,58.26,U055
2,UDIT RAJ,Indian National Congress,574451,1183,575634,38.71,U055
3,VIJAY BAUDDH,Bahujan Samaj Party,11955,42,11997,0.81,U055
4,SURESH KUMAR,Peoples Party of India (Democratic),2869,1,2870,0.19,U055
5,SANJAY KUMAR SIWAL,Rashtriya Janshakti Party (Secular),2866,0,2866,0.19,U055
6,SUBHASH,Asankhya Samaj Party,2250,0,2250,0.15,U055
7,RAJENDER SOOD,Aam Janshakti Party,1468,10,1478,0.1,U055
8,PRAVEEN GAUTAM,Navarang Congress Party,1455,1,1456,0.1,U055
9,K M KAJAL,Public Political Party,1334,8,1342,0.09,U055
10,NARESH KUMAR,Independent,1270,5,1275,0.09,U055
11,ADVOCATE SATISH CHANDRA,Ambedkarite Party of India,1236,1,1237,0.08,U055
12,PARMENDRA MANJHI,Independent,1102,0,1102,0.07,U055
13,ADVOCATE DR. MAHENDER   SINGH CHURIYANA,Bahujan Dravida Party,1015,1,1016,0.07,U055
14,CHANDER PAL SONI,Independent,891,0,891,0.06,U055
15,ADITI,Independent,790,0,790,0.05,U055
16,ADV. KRUPAL,Prabuddha Republican Party,673,2,675,0.05,U055
17,NAND RAM BAGRI,Voters Party  International,638,0,638,0.04,U055
18,SHYAM BHARTEEY,Gareeb Aadmi Party,629,3,632,0.04,U055
19,HARI KISHAN (MECHANIC),Independent,547,1,548,0.04,U055
20,POOJA (BHAGTANI),Bharatiya Jan Jagriti Party,504,5,509,0.03,U055
21,NARESH KUMAR,Rashtriya Samaj Paksha,499,1,500,0.03,U055
22,PREETI,Saman Adhikar Party,495,8,503,0.03,U055
23,SATYA PRAKASH UTTRAKHANDI,Independent,433,1,434,0.03,U055
24,KHILKHILAKAR,Bahujan Shoshit Samaj Sangharsh Samta Party,372,1,373,0.03,U055
25,PRADEEP KUMAR,Independent,371,0,371,0.02,U055
26,PUSHPA NAGRA,Independent,353,0,353,0.02,U055
27,NOTA,None of the Above,8917,67,8984,0.6,U055
1,PATEL UMESHBHAI BABUBHAI,Independent,42469,54,42523,46.02,U031
2,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,36243,55,36298,39.28,U031
3,KETAN DAHYABHAI PATEL,Indian National Congress,11237,21,11258,12.18,U031
4,UMESH PATEL,Navsarjan Bharat Party,545,0,545,0.59,U031
5,SAKIL LATIF KHAN,Independent,323,0,323,0.35,U031
6,IDRISH G MULLA,Independent,247,0,247,0.27,U031
7,PATEL UMESHBHAI BABU,Independent,238,0,238,0.26,U031
8,NOTA,None of the Above,977,1,978,1.06,U031
1,SRIBHARAT MATHUKUMILI,Telugu Desam,893884,13583,907467,65.42,S014
2,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,397821,5399,403220,29.07,S014
3,P. SATYA REDDY,Indian National Congress,29430,837,30267,2.18,S014
4,K.A. PAUL,Praja Shanthi Party,7529,167,7696,0.55,S014
5,PEDAPENKI SIVA PRASADA RAO,Bahujan Samaj Party,6006,85,6091,0.44,S014
6,BIKKAVOLU. CHALAMAJI,Navarang Congress Party,4883,1,4884,0.35,S014
7,V.N. SATYA NARAYANA,Rashtriya Praja Congress  (Secular),2534,3,2537,0.18,S014
8,ARUNA SRI MURALA,Independent,1991,2,1993,0.14,S014
9,VASUPILLI SURESH,Independent,1931,2,1933,0.14,S014
10,SONDI KRISHNA.,Independent,1811,7,1818,0.13,S014
11,ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,1098,11,1109,0.08,S014
12,DR. GANAPATHI KONGARAPU.,Republican Party of India (A),944,6,950,0.07,S014
13,BANNA. RAMESH,Dalita Bahujana Party,941,7,948,0.07,S014
14,P. SATYA VANI,Pyramid Party of India,875,7,882,0.06,S014
15,DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal,760,7,767,0.06,S014
16,CHAPPIDI RAMU,Independent,756,1,757,0.05,S014
17,M.G.M. KHAN,Independent,738,4,742,0.05,S014
18,SHANKAR DEVARA YADAV,Independent,656,5,661,0.05,S014
19,VENU MADHAV KARRI,Independent,646,1,647,0.05,S014
20,DR. ACHUTHA BALAJI YADAV (MURAPALA),Bharatha Chaitanya Yuvajana Party,628,10,638,0.05,S014
21,THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,628,5,633,0.05,S014
22,PIDIDHI APPARAO,Independent,576,4,580,0.04,S014
23,G.A.N. ANAND,Independent,543,0,543,0.04,S014
24,VADDI. HARI GANESH,Independent,518,2,520,0.04,S014
25,JANARDHAN PONNADA.,Independent,499,1,500,0.04,S014
26,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Jai Maha Bharath Party,494,6,500,0.04,S014
27,JALADI VIJAYA KUMARI,Samajwadi Party,463,3,466,0.03,S014
28,CHINTADA SURYAM,Naba Bharata Nirmana Seva Party,443,5,448,0.03,S014
29,GANDIKOTA RAJESH,Navataram Party,392,1,393,0.03,S014
30,KOLLI NAGA RAJU,Independent,322,7,329,0.02,S014
31,METTA RAMA RAO,Independent,320,6,326,0.02,S014
32,LAGUDU. GOVINDA RAO,Independent,293,1,294,0.02,S014
33,MALLA SRAVANI,Independent,271,2,273,0.02,S014
34,NOTA,None of the Above,5171,142,5313,0.38,S014
1,KRIPANATH MALLAH,Bharatiya Janata Party,541220,3873,545093,47.53,S037
2,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,524390,2343,526733,45.93,S037
3,SAHABUL ISLAM CHOUDHURY,All India United Democratic Front,29070,135,29205,2.55,S037
4,JIBESH DEB,Independent,7105,4,7109,0.62,S037
5,DEBOJYOTI NATH,Independent,5900,7,5907,0.52,S037
6,AHAD UDDIN,Rashtriya Ulama Council,4186,6,4192,0.37,S037
7,BINAY KRISHNA ROY,Independent,3621,7,3628,0.32,S037
8,DILIP KUMAR,Independent,2623,7,2630,0.23,S037
9,ROSID AHMED LASKAR,Independent,2600,1,2601,0.23,S037
10,MUZAKKIR HASAN LASKAR,Independent,2287,4,2291,0.2,S037
11,ABDUL BASIT TAPADAR,Independent,1912,11,1923,0.17,S037
12,GOPAL CHANDRA PAUL,Independent,1650,7,1657,0.14,S037
13,MD. NAZRUL ISLAM LASKAR,Independent,1382,0,1382,0.12,S037
14,SAHEL AHMED,Independent,1110,1,1111,0.1,S037
15,ABDUL GOFFAR TALUKDAR,Independent,1094,1,1095,0.1,S037
16,SAFIKUR RAHMAN HAZARI,Independent,1031,0,1031,0.09,S037
17,PRAJJWAL SUDIP DEB,Socialist Unity Centre Of India (COMMUNIST),994,7,1001,0.09,S037
18,ABDUL KALAM MAZUMDER,Independent,975,0,975,0.09,S037
19,ALIM UDDIN MAZUMDER,Independent,881,1,882,0.08,S037
20,ABDUL HAMEED,Independent,841,1,842,0.07,S037
21,DEBASHISH GHOSH,Bangali Nabanirman Sena,800,17,817,0.07,S037
22,RASHID AHMED CHOUDHURY,Independent,719,2,721,0.06,S037
23,ABDUS  SUBHAN TAPADAR,Independent,568,3,571,0.05,S037
24,ROKIBUL HUSSAIN CHOUDHURY,Independent,539,6,545,0.05,S037
25,NOTA,None of the Above,2851,89,2940,0.26,S037
1,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,25405,321,25726,52.29,U061
2,MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar,22837,242,23079,46.91,U061
3,YOUSUF TP,Nationalist Congress Party,198,3,201,0.41,U061
4,KOYA,Independent,58,3,61,0.12,U061
5,NOTA,None of the Above,132,1,133,0.27,U061
1,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),490432,2103,492535,42.49,S1315
2,BABURAO KADAM KOHALIKAR,Shiv Sena,382599,1334,383933,33.12,S1315
3,DR. B. D. CHAVHAN,Vanchit Bahujan  Aaghadi,161324,490,161814,13.96,S1315
4,AMBADAS SUKAJI GADE,Independent,14729,13,14742,1.27,S1315
5,VIJAY RAMJI GABHANE,Communist Party of India  (Marxist),14617,27,14644,1.26,S1315
6,ANAND RAJARAM DHULE,Independent,9807,10,9817,0.85,S1315
7,GAJANAN DHONDBA DAL,Bahujan Samaj Party,7410,55,7465,0.64,S1315
8,DATTA SHRIKRISHNA SURYAWANSHI,Independent,7233,6,7239,0.62,S1315
9,SARJERAO NIVRUTTI KHANDARE,Independent,5010,4,5014,0.43,S1315
10,RAMPRASAD NARAYAN BANGAR,Independent,4518,7,4525,0.39,S1315
11,BABURAO ANANDRAO KADAM,Independent,4469,13,4482,0.39,S1315
12,DEVSARKAR VARSHA SHIVAJIRAO,Bahujan Mukti Party,4081,18,4099,0.35,S1315
13,A. KADIR MASTAN SAYYED (GOREGAONKAR),Independent,3707,6,3713,0.32,S1315
14,ANIL DEVRAO MOHITE,Akhil Bhartiya Parivar Party,3353,21,3374,0.29,S1315
15,SUNIL MOTIRAM GAJBHAR,Independent,3192,0,3192,0.28,S1315
16,ADV ALTAF AHMED,Indian National League,2934,16,2950,0.25,S1315
17,ASHOK PANDURANG RATHOD,Independent,2897,9,2906,0.25,S1315
18,ADV RAVI SHINDE,Independent,2687,14,2701,0.23,S1315
19,SATTAR PATHAN,Independent,2461,2,2463,0.21,S1315
20,MAHESH KAILAS NAPTE,Independent,2298,1,2299,0.2,S1315
21,ADV. SHIVAJIRAO JADHAV,Independent,2181,33,2214,0.19,S1315
22,BHAWAR GOVINDRAO FULAJI,Independent,2138,8,2146,0.19,S1315
23,TRISHALA MILIND KAMBLE,Bahujan Samaj Party  (Ambedkar),2128,22,2150,0.19,S1315
24,PRAKASH MASARAM RANVIR,Republican Party of India (A),2097,5,2102,0.18,S1315
25,ADV. RAMRAO ATMARAM JUMBADE,Independent,2095,9,2104,0.18,S1315
26,DESHA SHYAM BANJARA,Samnak Janta Party,2052,11,2063,0.18,S1315
27,VISHVANATH BHAURAO FALEGAONKAR,Independent,1856,3,1859,0.16,S1315
28,HEMANT RADHAKISHAN KANAKE,Rashtriya Kisan Bahujan Party,1791,9,1800,0.16,S1315
29,RAVI RAMDAS JADHAV (SAWANEKAR),Abhinav Bharat Janseva Paksh,1590,12,1602,0.14,S1315
30,DEWJI GANGARAM ASOLE,Independent,1476,7,1483,0.13,S1315
31,VIJAY DNYANBA RAUT,Independent,1115,11,1126,0.1,S1315
32,SUNIL DASHARATH INGOLE,Bhim Sena,1024,4,1028,0.09,S1315
33,VASANT KISAN PAIKRAO,Independent,590,3,593,0.05,S1315
34,NOTA,None of the Above,3079,44,3123,0.27,S1315
1,BIJULI KALITA  MEDHI,Bharatiya Janata Party,891901,2986,894887,55.95,S035
2,MIRA BORTHAKUR GOSWAMI,Indian National Congress,642353,1444,643797,40.25,S035
3,DIPAK KR BORO,Voters Party  International,8494,54,8548,0.53,S035
4,COLONEL GOKUL CHANDRA SINGHA,Independent,7644,34,7678,0.48,S035
5,AMITABH SARMA,Ekam Sanatan Bharat Dal,7508,19,7527,0.47,S035
6,KAZI NEKIB  AHMED,Independent,6753,8,6761,0.42,S035
7,SAMAD CHOUDHURY,Bharatiya Gana Parishad,5081,14,5095,0.32,S035
8,SHEJON GOYARY,Bahujan Maha Party,4826,21,4847,0.3,S035
9,NOTA,None of the Above,20139,110,20249,1.27,S035
1,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,517489,4347,521836,50.85,U083
2,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,238210,1832,240042,23.39,U083
3,ZAFAR IQBAL KHAN MANHAS,Jammu and Kashmir Apni Party,141316,879,142195,13.86,U083
4,MOHAMAD SALEEM PARAY,Democratic Progressive Azad Party,25440,121,25561,2.49,U083
5,ABDUL RAOUF MALIK,Independent,10566,16,10582,1.03,U083
6,SUSHIL KUMAR SHARMA,Independent,9102,126,9228,0.9,U083
7,ABDUL ROUF NAIK,Independent,9079,70,9149,0.89,U083
8,SAJAD AHMAD DAR,Independent,7988,16,8004,0.78,U083
9,IMRAN SHEIKH,Independent,7457,28,7485,0.73,U083
10,IMTIYAZ AHMAD,National Loktantrik Party,6936,77,7013,0.68,U083
11,ARSHEED AHMED LONE,Jammu & Kashmir National Panthers Party (Bhim),6163,226,6389,0.62,U083
12,BALDEV KUMAR,Independent,6120,69,6189,0.6,U083
13,ALI MOHAMMAD WANI,Independent,5238,17,5255,0.51,U083
14,SHEIKH MUZAFAR AHMED,Jammu and Kashmir Nationalist People's Front,4774,40,4814,0.47,U083
15,DILIP KUMAR PANDITA,Independent,3638,84,3722,0.36,U083
16,RAVINDER SINGH,Independent,2828,134,2962,0.29,U083
17,GULSHAN AKHTER,Independent,2778,29,2807,0.27,U083
18,MOHAMMAD MAQBOOL TELI,Garib Democratic Party,2731,17,2748,0.27,U083
19,SUDARSHAN SINGH,National Awami United Party,2166,216,2382,0.23,U083
20,JAVAID AHMED,All India Forward Bloc,1534,28,1562,0.15,U083
21,NOTA,None of the Above,5967,256,6223,0.61,U083
1,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,560578,2638,563216,48.39,S227
2,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,255343,1314,256657,22.05,S227
3,K BALU,Pattali Makkal Katchi,200614,1711,202325,17.38,S227
4,S AFSHIA NASRIN,Naam Tamilar Katchi,97985,959,98944,8.5,S227
5,D PANDIYAN,Bahujan Samaj Party,6135,77,6212,0.53,S227
6,A PALANI,Independent,3855,11,3866,0.33,S227
7,K MANIGANDAN,Independent,2045,4,2049,0.18,S227
8,INDU W,Tamil Manila Murpokku Dravida Kazhagam,1872,66,1938,0.17,S227
9,DR A V NARENDRAN,Independent,1711,11,1722,0.15,S227
10,M VIJAYAN,Independent,1674,4,1678,0.14,S227
11,M BALU,Independent,1557,4,1561,0.13,S227
12,SHETTU S,Independent,1556,5,1561,0.13,S227
13,V BABU,United Republican Party of India,1351,15,1366,0.12,S227
14,M THULASIRAMAN,Independent,1046,7,1053,0.09,S227
15,D JANAKIRAMAN,Independent,831,6,837,0.07,S227
16,S SURESH KUMAR,Independent,828,7,835,0.07,S227
17,R VINOTH,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,819,2,821,0.07,S227
18,V VINAYAGAM,Independent,727,2,729,0.06,S227
19,VIJAYAN K,All India Jananayaka Makkal Kazhagam,624,9,633,0.05,S227
20,SHANAVAS J,Independent,580,3,583,0.05,S227
21,V KRISHNANANDAN,Anna MGR Dravida Makkal Kalgam,568,14,582,0.05,S227
22,A JAYACHANDRAN,Independent,534,4,538,0.05,S227
23,N SUGUMAR,Independent,424,8,432,0.04,S227
24,M VIJAY,Independent,416,11,427,0.04,S227
25,G SUDHAKAR,Independent,367,13,380,0.03,S227
26,K VENKATESAN,Independent,261,3,264,0.02,S227
27,NOTA,None of the Above,12423,190,12613,1.08,S227
1,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,650335,8579,658914,49.51,S0118
2,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,543801,3815,547616,41.15,S0118
3,P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress,68972,1401,70373,5.29,S0118
4,MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party,8533,56,8589,0.65,S0118
5,BOYA SURESH,Independent,5891,9,5900,0.44,S0118
6,T. BEECHUPALLI,Independent,5125,2,5127,0.39,S0118
7,VIJAYA BHASKAR .REDDYPOGU,Independent,3504,4,3508,0.26,S0118
8,PAGADALA KODANDA,Independent,3070,6,3076,0.23,S0118
9,DEVARAPOGU MADDILETY,Independent,2576,6,2582,0.19,S0118
10,PRAKASH REDDY RALAMPADU,Independent,2222,3,2225,0.17,S0118
11,JAHANGIR AHMED,Social Democratic Party Of India,2058,16,2074,0.16,S0118
12,DR. REDDYPOGU PRAVEEN KUMAR,Independent,1847,9,1856,0.14,S0118
13,ABDUL SATTAR  A.S.R,Anna YSR Congress Party,1565,36,1601,0.12,S0118
